"","Japanese_Name","Pokedex_Number","Classfication","Generation","Region","Is_Legendary","Type_1","Type_2","Abiity_1","Abiity_2","Abiity_3","Abiity_4","Abiity_5","Abiity_6","Against_Bug","Against_Dark","Against_Dragon","Against_Electric","Against_Fairy","Against_Fight","Against_Fire","Against_Flying","Against_Ghost","Against_Grass","Against_Ground","Against_Ice","Against_Normal","Against_Poison","Against_Psychic","Against_Rock","Against_Steel","Against_Water","Hp","Height_m","Weight_Kg","Attack","Defense","Sp_Attack","Sp_Defense","Speed","Region.1","Base_Egg_Steps","Experience_Growth","Base_Happiness","Base_Total","Capture_Rate"
"Tentacruel","Dokukurage<U+30C9><U+30AF><U+30AF><U+30E9><U+30B2>",73,"Jellyfish Pokémon","I","Kanto",0,"Water","Poison","Clear Body"," Liquid Ooze"," Rain Dish",NA,NA,NA,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,80,1.6,55,70,65,80,120,100,"Kanto",5120,1250000,70,515,"60"
"Geodude","Isitsubute<U+30A4><U+30B7><U+30C4><U+30D6><U+30C6>",74,"Rock Pokémon","I","Kanto",0,"Rock","Ground","Rock Head"," Sturdy"," Sand Veil"," Magnet Pull"," Sturdy"," Galvanize",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,40,0.4,20,80,100,30,30,20,"Kanto",3840,1059860,70,300,"255"
"Graveler","Golone<U+30B4><U+30ED><U+30FC><U+30F3>",75,"Rock Pokémon","I","Kanto",0,"Rock","Ground","Rock Head"," Sturdy"," Sand Veil"," Magnet Pull"," Sturdy"," Galvanize",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,55,0.3,105,95,115,45,45,35,"Kanto",3840,1059860,70,390,"120"
"Golem","Golonya<U+30B4><U+30ED><U+30FC><U+30CB><U+30E3>",76,"Megaton Pokémon","I","Kanto",0,"Rock","Ground","Rock Head"," Sturdy"," Sand Veil"," Magnet Pull"," Sturdy"," Galvanize",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,80,1.4,300,120,130,55,65,45,"Kanto",3840,1059860,70,495,"45"
"Ponyta","Ponyta<U+30DD><U+30CB><U+30FC><U+30BF>",77,"Fire Horse Pokémon","I","Kanto",0,"Fire","None","Run Away"," Flash Fire"," Flame Body",NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,50,1,30,85,55,65,65,90,"Kanto",5120,1000000,70,410,"190"
"Rapidash","Gallop<U+30AE><U+30E3><U+30ED><U+30C3><U+30D7>",78,"Fire Horse Pokémon","I","Kanto",0,"Fire","None","Run Away"," Flash Fire"," Flame Body",NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,65,1.7,95,100,70,80,80,105,"Kanto",5120,1000000,70,500,"60"
"Slowpoke","Yadon<U+30E4><U+30C9><U+30F3>",79,"Dopey Pokémon","I","Kanto",0,"Water","Psychic","Oblivious"," Own Tempo"," Regenerator",NA,NA,NA,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,90,1.2,36,65,65,40,40,15,"Kanto",5120,1000000,70,315,"190"
"Slowbro","Yadoran<U+30E4><U+30C9><U+30E9><U+30F3>",80,"Hermit Crab Pokémon","I","Kanto",0,"Water","Psychic","Oblivious"," Own Tempo"," Regenerator",NA,NA,NA,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,95,1.6,78.5,75,180,130,80,30,"Kanto",5120,1000000,70,590,"75"
"Magnemite","Coil<U+30B3><U+30A4><U+30EB>",81,"Magnet Pokémon","I","Kanto",0,"Electric","Steel","Magnet Pull"," Sturdy"," Analytic",NA,NA,NA,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,25,0.3,6,35,70,95,55,45,"Kanto",5120,1000000,70,325,"190"
"Magneton","Rarecoil<U+30EC><U+30A2><U+30B3><U+30A4><U+30EB>",82,"Magnet Pokémon","I","Kanto",0,"Electric","Steel","Magnet Pull"," Sturdy"," Analytic",NA,NA,NA,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,50,1,60,60,95,120,70,70,"Kanto",5120,1000000,70,465,"60"
"Farfetch'd","Kamonegi<U+30AB><U+30E2><U+30CD><U+30AE>",83,"Wild Duck Pokémon","I","Kanto",0,"Normal","Flying","Keen Eye"," Inner Focus"," Defiant",NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,52,0.8,15,90,55,58,62,60,"Kanto",5120,1000000,70,377,"45"
"Doduo","Dodo<U+30C9><U+30FC><U+30C9><U+30FC>",84,"Twin Bird Pokémon","I","Kanto",0,"Normal","Flying","Run Away"," Early Bird"," Tangled Feet",NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,35,1.4,39.2,85,45,35,35,75,"Kanto",5120,1000000,70,310,"190"
"Dodrio","Dodorio<U+30C9><U+30FC><U+30C9><U+30EA><U+30AA>",85,"Triple Bird Pokémon","I","Kanto",0,"Normal","Flying","Run Away"," Early Bird"," Tangled Feet",NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,1.8,85.2,110,70,60,60,110,"Kanto",5120,1000000,70,470,"45"
"Seel","Pawou<U+30D1><U+30A6><U+30EF><U+30A6>",86,"Sea Lion Pokémon","I","Kanto",0,"Water","None","Thick Fat"," Hydration"," Ice Body",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,1.1,90,45,55,45,70,45,"Kanto",5120,1000000,70,325,"190"
"Dewgong","Jugon<U+30B8><U+30E5><U+30B4><U+30F3>",87,"Sea Lion Pokémon","I","Kanto",0,"Water","Ice","Thick Fat"," Hydration"," Ice Body",NA,NA,NA,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,90,1.7,120,70,80,70,95,70,"Kanto",5120,1000000,70,475,"75"
"Grimer","Betbeter<U+30D9><U+30C8><U+30D9><U+30BF><U+30FC>",88,"Sludge Pokémon","I","Kanto",0,"Poison","Poison","Stench"," Sticky Hold"," Poison Touch"," Poison Touch"," Gluttony"," Power of Alchemy",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,80,0.9,30,80,50,40,50,25,"Kanto",5120,1000000,70,325,"190"
"Muk","Betbeton<U+30D9><U+30C8><U+30D9><U+30C8><U+30F3>",89,"Sludge Pokémon","I","Kanto",0,"Poison","Poison","Stench"," Sticky Hold"," Poison Touch"," Poison Touch"," Gluttony"," Power of Alchemy",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,105,1.2,30,105,75,65,100,50,"Kanto",5120,1000000,70,500,"75"
"Shellder","Shellder<U+30B7><U+30A7><U+30EB><U+30C0><U+30FC>",90,"Bivalve Pokémon","I","Kanto",0,"Water","None","Shell Armor"," Skill Link"," Overcoat",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,30,0.3,4,65,100,45,25,40,"Kanto",5120,1250000,70,305,"190"
"Cloyster","Parshen<U+30D1><U+30EB><U+30B7><U+30A7><U+30F3>",91,"Bivalve Pokémon","I","Kanto",0,"Water","Ice","Shell Armor"," Skill Link"," Overcoat",NA,NA,NA,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,50,1.5,132.5,95,180,85,45,70,"Kanto",5120,1250000,70,525,"60"
"Gastly","Ghos<U+30B4><U+30FC><U+30B9>",92,"Gas Pokémon","I","Kanto",0,"Ghost","Poison","Levitate",NA,NA,NA,NA,NA,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,30,1.3,0.1,35,30,100,35,80,"Kanto",5120,1059860,70,310,"190"
"Haunter","Ghost<U+30B4><U+30FC><U+30B9><U+30C8>",93,"Gas Pokémon","I","Kanto",0,"Ghost","Poison","Levitate",NA,NA,NA,NA,NA,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,45,1.6,0.1,50,45,115,55,95,"Kanto",5120,1059860,70,405,"90"
"Gengar","Gangar<U+30B2><U+30F3><U+30AC><U+30FC>",94,"Shadow Pokémon","I","Kanto",0,"Ghost","Poison","Cursed Body",NA,NA,NA,NA,NA,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,60,1.5,40.5,65,80,170,95,130,"Kanto",5120,1059860,70,600,"45"
"Onix","Iwark<U+30A4><U+30EF><U+30FC><U+30AF>",95,"Rock Snake Pokémon","I","Kanto",0,"Rock","Ground","Rock Head"," Sturdy"," Weak Armor",NA,NA,NA,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,35,8.8,210,45,160,30,45,70,"Kanto",6400,1000000,70,385,"45"
"Drowzee","Sleepe<U+30B9><U+30EA><U+30FC><U+30D7>",96,"Hypnosis Pokémon","I","Kanto",0,"Psychic","None","Insomnia"," Forewarn"," Inner Focus",NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,60,1,32.4,48,45,43,90,42,"Kanto",5120,1000000,70,328,"190"
"Hypno","Sleeper<U+30B9><U+30EA><U+30FC><U+30D1><U+30FC>",97,"Hypnosis Pokémon","I","Kanto",0,"Psychic","None","Insomnia"," Forewarn"," Inner Focus",NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,85,1.6,75.6,73,70,73,115,67,"Kanto",5120,1000000,70,483,"75"
"Krabby","Crab<U+30AF><U+30E9><U+30D6>",98,"River Crab Pokémon","I","Kanto",0,"Water","None","Hyper Cutter"," Shell Armor"," Sheer Force",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,30,0.4,6.5,105,90,25,25,50,"Kanto",5120,1000000,70,325,"225"
"Kingler","Kingler<U+30AD><U+30F3><U+30B0><U+30E9><U+30FC>",99,"Pincer Pokémon","I","Kanto",0,"Water","None","Hyper Cutter"," Shell Armor"," Sheer Force",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,55,1.3,60,130,115,50,50,75,"Kanto",5120,1000000,70,475,"60"
"Voltorb","Biriridama<U+30D3><U+30EA><U+30EA><U+30C0><U+30DE>",100,"Ball Pokémon","I","Kanto",0,"Electric","None","Soundproof"," Static"," Aftermath",NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,40,0.5,10.4,30,50,55,55,100,"Kanto",5120,1000000,70,330,"190"
"Electrode","Marumine<U+30DE><U+30EB><U+30DE><U+30A4><U+30F3>",101,"Ball Pokémon","I","Kanto",0,"Electric","None","Soundproof"," Static"," Aftermath",NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,60,1.2,66.6,50,70,80,80,150,"Kanto",5120,1000000,70,490,"60"
"Exeggcute","Tamatama<U+30BF><U+30DE><U+30BF><U+30DE>",102,"Egg Pokémon","I","Kanto",0,"Grass","Psychic","Chlorophyll"," Harvest",NA,NA,NA,NA,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,60,0.4,2.5,40,80,60,45,40,"Kanto",5120,1250000,70,325,"90"
"Exeggutor","Nassy<U+30CA><U+30C3><U+30B7><U+30FC>",103,"Coconut Pokémon","I","Kanto",0,"Grass","Psychic","Chlorophyll"," Harvest"," Frisk"," Harvest",NA,NA,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,95,2,120,105,85,125,75,45,"Kanto",5120,1250000,70,530,"45"
"Cubone","Karakara<U+30AB><U+30E9><U+30AB><U+30E9>",104,"Lonely Pokémon","I","Kanto",0,"Ground","None","Rock Head"," Lightningrod"," Battle Armor",NA,NA,NA,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,0.4,6.5,50,95,40,50,35,"Kanto",5120,1000000,70,320,"190"
"Marowak","Garagara<U+30AC><U+30E9><U+30AC><U+30E9>",105,"Bone Keeper Pokémon","I","Kanto",0,"Ground","Fire","Rock Head"," Lightningrod"," Battle Armor"," Cursed Body"," Lightningrod"," Rock Head",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,60,1,45,80,110,50,80,45,"Kanto",5120,1000000,70,425,"75"
"Hitmonlee","Sawamular<U+30B5><U+30EF><U+30E0><U+30E9><U+30FC>",106,"Kicking Pokémon","I","Kanto",0,"Fighting","None","Limber"," Reckless"," Unburden",NA,NA,NA,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,50,1.5,49.8,120,53,35,110,87,"Kanto",6400,1000000,70,455,"45"
"Hitmonchan","Ebiwalar<U+30A8><U+30D3><U+30EF><U+30E9><U+30FC>",107,"Punching Pokémon","I","Kanto",0,"Fighting","None","Keen Eye"," Iron Fist"," Inner Focus",NA,NA,NA,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,50,1.4,50.2,105,79,35,110,76,"Kanto",6400,1000000,70,455,"45"
"Lickitung","Beroringa<U+30D9><U+30ED><U+30EA><U+30F3><U+30AC>",108,"Licking Pokémon","I","Kanto",0,"Normal","None","Own Tempo"," Oblivious"," Cloud Nine",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,90,1.2,65.5,55,75,60,75,30,"Kanto",5120,1000000,70,385,"45"
"Koffing","Dogars<U+30C9><U+30AC><U+30FC><U+30B9>",109,"Poison Gas Pokémon","I","Kanto",0,"Poison","None","Levitate",NA,NA,NA,NA,NA,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,40,0.6,1,65,95,60,45,35,"Kanto",5120,1000000,70,340,"190"
"Weezing","Matadogas<U+30DE><U+30BF><U+30C9><U+30AC><U+30B9>",110,"Poison Gas Pokémon","I","Kanto",0,"Poison","None","Levitate",NA,NA,NA,NA,NA,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,65,1.2,9.5,90,120,85,70,60,"Kanto",5120,1000000,70,490,"60"
"Rhyhorn","Sihorn<U+30B5><U+30A4><U+30DB><U+30FC><U+30F3>",111,"Spikes Pokémon","I","Kanto",0,"Ground","Rock","Lightningrod"," Rock Head"," Reckless",NA,NA,NA,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,80,1,115,85,95,30,30,25,"Kanto",5120,1250000,70,345,"120"
"Rhydon","Sidon<U+30B5><U+30A4><U+30C9><U+30F3>",112,"Drill Pokémon","I","Kanto",0,"Ground","Rock","Lightningrod"," Rock Head"," Reckless",NA,NA,NA,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,105,1.9,120,130,120,45,45,40,"Kanto",5120,1250000,70,485,"60"
"Chansey","Lucky<U+30E9><U+30C3><U+30AD><U+30FC>",113,"Egg Pokémon","I","Kanto",0,"Normal","None","Natural Cure"," Serene Grace"," Healer",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,250,1.1,34.6,5,5,35,105,50,"Kanto",10240,800000,140,450,"30"
"Tangela","Monjara<U+30E2><U+30F3><U+30B8><U+30E3><U+30E9>",114,"Vine Pokémon","I","Kanto",0,"Grass","None","Chlorophyll"," Leaf Guard"," Regenerator",NA,NA,NA,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,65,1,35,55,115,100,40,60,"Kanto",5120,1000000,70,435,"45"
"Kangaskhan","Garura<U+30AC><U+30EB><U+30FC><U+30E9>",115,"Parent Pokémon","I","Kanto",0,"Normal","None","Early Bird"," Scrappy"," Inner Focus",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,105,2.2,80,125,100,60,100,100,"Kanto",5120,1000000,70,590,"45"
"Horsea","Tattu<U+30BF><U+30C3><U+30C4><U+30FC>",116,"Dragon Pokémon","I","Kanto",0,"Water","None","Swift Swim"," Sniper"," Damp",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,30,0.4,8,40,70,70,25,60,"Kanto",5120,1000000,70,295,"225"
"Seadra","Seadra<U+30B7><U+30FC><U+30C9><U+30E9>",117,"Dragon Pokémon","I","Kanto",0,"Water","None","Poison Point"," Sniper"," Damp",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,55,1.2,25,65,95,95,45,85,"Kanto",5120,1000000,70,440,"75"
"Goldeen","Tosakinto<U+30C8><U+30B5><U+30AD><U+30F3><U+30C8>",118,"Goldfish Pokémon","I","Kanto",0,"Water","None","Swift Swim"," Water Veil"," Lightningrod",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,0.6,15,67,60,35,50,63,"Kanto",5120,1000000,70,320,"225"
"Seaking","Azumao<U+30A2><U+30BA><U+30DE><U+30AA><U+30A6>",119,"Goldfish Pokémon","I","Kanto",0,"Water","None","Swift Swim"," Water Veil"," Lightningrod",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,80,1.3,39,92,65,65,80,68,"Kanto",5120,1000000,70,450,"60"
"Staryu","Hitodeman<U+30D2><U+30C8><U+30C7><U+30DE><U+30F3>",120,"Starshape Pokémon","I","Kanto",0,"Water","None","Illuminate"," Natural Cure"," Analytic",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,30,0.8,34.5,45,55,70,55,85,"Kanto",5120,1250000,70,340,"225"
"Starmie","Starmie<U+30B9><U+30BF><U+30FC><U+30DF><U+30FC>",121,"Mysterious Pokémon","I","Kanto",0,"Water","Psychic","Illuminate"," Natural Cure"," Analytic",NA,NA,NA,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,60,1.1,80,75,85,100,85,115,"Kanto",5120,1250000,70,520,"60"
"Mr. Mime","Barrierd<U+30D0><U+30EA><U+30E4><U+30FC><U+30C9>",122,"Barrier Pokémon","I","Kanto",0,"Psychic","Fairy","Soundproof"," Filter"," Technician",NA,NA,NA,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,40,1.3,54.5,45,65,100,120,90,"Kanto",6400,1000000,70,460,"45"
"Scyther","Strike<U+30B9><U+30C8><U+30E9><U+30A4><U+30AF>",123,"Mantis Pokémon","I","Kanto",0,"Bug","Flying","Swarm"," Technician"," Steadfast",NA,NA,NA,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,70,1.5,56,110,80,55,80,105,"Kanto",6400,1000000,70,500,"45"
"Jynx","Rougela<U+30EB><U+30FC><U+30B8><U+30E5><U+30E9>",124,"Humanshape Pokémon","I","Kanto",0,"Ice","Psychic","Oblivious"," Forewarn"," Dry Skin",NA,NA,NA,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,65,1.4,40.6,50,35,115,95,95,"Kanto",6400,1000000,70,455,"45"
"Electabuzz","Eleboo<U+30A8><U+30EC><U+30D6><U+30FC>",125,"Electric Pokémon","I","Kanto",0,"Electric","None","Static"," Vital Spirit",NA,NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,65,1.1,30,83,57,95,85,105,"Kanto",6400,1000000,70,490,"45"
"Magmar","Boober<U+30D6><U+30FC><U+30D0><U+30FC>",126,"Spitfire Pokémon","I","Kanto",0,"Fire","None","Flame Body"," Vital Spirit",NA,NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,65,1.3,44.5,95,57,100,85,93,"Kanto",6400,1000000,70,495,"45"
"Pinsir","Kailios<U+30AB><U+30A4><U+30ED><U+30B9>",127,"Stagbeetle Pokémon","I","Kanto",0,"Bug","None","Hyper Cutter"," Mold Breaker"," Moxie",NA,NA,NA,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,65,1.5,55,155,120,65,90,105,"Kanto",6400,1250000,70,600,"45"
"Tauros","Kentauros<U+30B1><U+30F3><U+30BF><U+30ED><U+30B9>",128,"Wild Bull Pokémon","I","Kanto",0,"Normal","None","Intimidate"," Anger Point"," Sheer Force",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,75,1.4,88.4,100,95,40,70,110,"Kanto",5120,1250000,70,490,"45"
"Magikarp","Koiking<U+30B3><U+30A4><U+30AD><U+30F3><U+30B0>",129,"Fish Pokémon","I","Kanto",0,"Water","None","Swift Swim"," Rattled",NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,20,0.9,10,10,55,15,20,80,"Kanto",1280,1250000,70,200,"255"
"Gyarados","Gyarados<U+30AE><U+30E3><U+30E9><U+30C9><U+30B9>",130,"Atrocious Pokémon","I","Kanto",0,"Water","Flying","Intimidate"," Moxie",NA,NA,NA,NA,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,95,6.5,235,155,109,70,130,81,"Kanto",1280,1250000,70,640,"45"
"Lapras","Laplace<U+30E9><U+30D7><U+30E9><U+30B9>",131,"Transport Pokémon","I","Kanto",0,"Water","Ice","Water Absorb"," Shell Armor"," Hydration",NA,NA,NA,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,130,2.5,220,85,80,85,95,60,"Kanto",10240,1250000,70,535,"45"
"Ditto","Metamon<U+30E1><U+30BF><U+30E2><U+30F3>",132,"Transform Pokémon","I","Kanto",0,"Normal","None","Limber"," Imposter",NA,NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,48,0.3,4,48,48,48,48,48,"Kanto",5120,1000000,70,288,"35"
"Eevee","Eievui<U+30A4><U+30FC><U+30D6><U+30A4>",133,"Evolution Pokémon","I","Kanto",0,"Normal","None","Run Away"," Adaptability"," Anticipation",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,0.3,6.5,55,50,45,65,55,"Kanto",8960,1000000,70,325,"45"
"Vaporeon","Showers<U+30B7><U+30E3><U+30EF><U+30FC><U+30BA>",134,"Bubble Jet Pokémon","I","Kanto",0,"Water","None","Water Absorb"," Hydration",NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,130,1,29,65,60,110,95,65,"Kanto",8960,1000000,70,525,"45"
"Jolteon","Thunders<U+30B5><U+30F3><U+30C0><U+30FC><U+30B9>",135,"Lightning Pokémon","I","Kanto",0,"Electric","None","Volt Absorb"," Quick Feet",NA,NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,65,0.8,24.5,65,60,110,95,130,"Kanto",8960,1000000,70,525,"45"
"Flareon","Booster<U+30D6><U+30FC><U+30B9><U+30BF><U+30FC>",136,"Flame Pokémon","I","Kanto",0,"Fire","None","Flash Fire"," Guts",NA,NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,65,0.9,25,130,60,95,110,65,"Kanto",8960,1000000,70,525,"45"
"Porygon","Porygon<U+30DD><U+30EA><U+30B4><U+30F3>",137,"Virtual Pokémon","I","Kanto",0,"Normal","None","Trace"," Download"," Analytic",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,65,0.8,36.5,60,70,85,75,40,"Kanto",5120,1000000,70,395,"45"
"Omanyte","Omnite<U+30AA><U+30E0><U+30CA><U+30A4><U+30C8>",138,"Spiral Pokémon","I","Kanto",0,"Rock","Water","Swift Swim"," Shell Armor"," Weak Armor",NA,NA,NA,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,35,0.4,7.5,40,100,90,55,35,"Kanto",7680,1000000,70,355,"45"
"Omastar","Omstar<U+30AA><U+30E0><U+30B9><U+30BF><U+30FC>",139,"Spiral Pokémon","I","Kanto",0,"Rock","Water","Swift Swim"," Shell Armor"," Weak Armor",NA,NA,NA,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,70,1,35,60,125,115,70,55,"Kanto",7680,1000000,70,495,"45"
"Kabuto","Kabuto<U+30AB><U+30D6><U+30C8>",140,"Shellfish Pokémon","I","Kanto",0,"Rock","Water","Swift Swim"," Battle Armor"," Weak Armor",NA,NA,NA,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,30,0.5,11.5,80,90,55,45,55,"Kanto",7680,1000000,70,355,"45"
"Kabutops","Kabutops<U+30AB><U+30D6><U+30C8><U+30D7><U+30B9>",141,"Shellfish Pokémon","I","Kanto",0,"Rock","Water","Swift Swim"," Battle Armor"," Weak Armor",NA,NA,NA,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,60,1.3,40.5,115,105,65,70,80,"Kanto",7680,1000000,70,495,"45"
"Aerodactyl","Ptera<U+30D7><U+30C6><U+30E9>",142,"Fossil Pokémon","I","Kanto",0,"Rock","Flying","Rock Head"," Pressure"," Unnerve",NA,NA,NA,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,80,1.8,59,135,85,70,95,150,"Kanto",8960,1250000,70,615,"45"
"Snorlax","Kabigon<U+30AB><U+30D3><U+30B4><U+30F3>",143,"Sleeping Pokémon","I","Kanto",0,"Normal","None","Immunity"," Thick Fat"," Gluttony",NA,NA,NA,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,160,2.1,460,110,65,65,110,30,"Kanto",10240,1250000,70,540,"25"
"Articuno","Freezer<U+30D5><U+30EA><U+30FC><U+30B6><U+30FC>",144,"Freeze Pokémon","I","Kanto",1,"Ice","Flying","Pressure"," Snow Cloak",NA,NA,NA,NA,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,90,1.7,55.4,85,100,95,125,85,"Kanto",20480,1250000,35,580,"3"
"Zapdos","Thunder<U+30B5><U+30F3><U+30C0><U+30FC>",145,"Electric Pokémon","I","Kanto",1,"Electric","Flying","Pressure"," Static",NA,NA,NA,NA,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,90,1.6,52.6,90,85,125,90,100,"Kanto",20480,1250000,35,580,"3"
"Moltres","Fire<U+30D5><U+30A1><U+30A4><U+30E4><U+30FC>",146,"Flame Pokémon","I","Kanto",1,"Fire","Flying","Pressure"," Flame Body",NA,NA,NA,NA,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,90,2,60,100,90,125,85,90,"Kanto",20480,1250000,35,580,"3"
